Date,Day,Open,High,Low,Close,Change,Range,Type
2026-04-28,Tuesday,4682.59,4701.64,4555.14,4596.8,-85.78,146.51,bearish
2026-04-27,Monday,4696.88,4729.97,4667.34,4681.96,-14.92,62.63,bearish
2026-04-24,Friday,4695.94,4740.57,4658.03,4709.75,13.81,82.54,bullish
2026-04-23,Thursday,4741.96,4754.2,4664.38,4694.09,-47.87,89.82,bearish
2026-04-22,Wednesday,4726.09,4772.39,4715.78,4740.46,14.37,56.61,bullish
2026-04-21,Tuesday,4825.14,4833.41,4668.62,4720.69,-104.45,164.78,bearish
2026-04-20,Monday,4774.81,4827.7,4736.83,4820.12,45.3,90.86,bullish
2026-04-17,Friday,4793.95,4891.54,4767.85,4831.61,37.66,123.69,bullish
2026-04-16,Thursday,4798.47,4838.56,4772.58,4790.66,-7.81,65.99,bearish
2026-04-15,Wednesday,4849.16,4871.38,4786.08,4790.94,-58.22,85.3,bearish
2026-04-14,Tuesday,4746.92,4846.37,4745.84,4841.76,94.84,100.53,bullish
2026-04-13,Monday,4670.43,4750.21,4644.47,4740.34,69.91,105.74,bullish
2026-04-10,Friday,4772.62,4794.98,4730.74,4749.69,-22.93,64.24,bearish
2026-04-09,Thursday,4727.55,4801.39,4698.73,4765.41,37.85,102.66,bullish
2026-04-08,Wednesday,4741.85,4858.22,4699.31,4718.96,-22.89,158.91,bearish
